Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count
lancecardiac,2023-02-11 02:48:58+00:00,0,Twitter for Android,RT @I_Katchanovski: Bombshell: Former Israeli prime minister says that Western leaders blocked #Ukraine &amp; #Russia peace deal which he negot…,402,983,6910
solar_extreme,2023-02-11 02:48:56+00:00,0,Twitter for Android,"RT @crouchendcom: Here is the real  Mr Z
Cocaine Addict and War Criminal

#UkraineRussianWar 
#Russia
#ZelenskyWarCriminal https://t.co/9mW…",1073,3322,27
TherealUncle_J,2023-02-11 02:48:29+00:00,0,Twitter for iPhone,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,946,482,195
lindabrown7777,2023-02-11 02:48:03+00:00,0,Twitter Web App,"RT @Antiwarcom: Pentagon Tells Lawmakers Ukraine Unlikely to Retake #Crimea
Rep. Mike Rogers (R-AL) signaled the US might pressure Zelensky…",300,1061,21
debraalv,2023-02-11 02:47:54+00:00,0,Twitter for Android,"RT @kk131066: You can't disagree with #facts 

You have only 1 option - accept them

#BLM 
#PoliceBrutality 
https://t.co/NGnlzohQ3W

#Ukra…",4609,5028,7
lindabrown7777,2023-02-11 02:47:46+00:00,0,Twitter Web App,"RT @Antiwarcom: Growing Number of Americans Say US Is Giving Ukraine Too Much Aid
by Kyle Anzalone and Connor Freeman
@KyleAnzalone_ @Freem…",300,1061,26
lindabrown7777,2023-02-11 02:47:46+00:00,0,Twitter Web App,"RT @Antiwarcom: Behind Closed Doors, Pentagon Warns Congress of Ukraine’s Weakness
Ron Paul Liberty Report
@RonPaul #Ukraine #Russia #Penta…",300,1061,15
ronaldobianque9,2023-02-11 02:47:43+00:00,0,Twitter Web App,"RT @HugoBor73884636: Dois ataques das forças aeroespaciais russas, destruíram o prédio de alojamentos das FFAA ucranianas, deposito de muni…",1562,5000,4
aniledodie,2023-02-11 02:46:48+00:00,0,Twitter Web App,"RT @ArthurM40330824: I can keep posting every hit. But it is getting too much.
The point is #Russia I think is responding to escalation fro…",403,475,8
FabioGhironi,2023-02-11 02:46:16+00:00,0,Twitter Web App,"RT @kajakallas: We need an international tribunal for the crime of aggression – there should be no impunity, no immunity for this ultimate…",18551,3534,2159
Wmadall,2023-02-11 02:46:16+00:00,0,Twitter for Android,"RT @rst_like: #Zelensky says that ""#Ukraine️ cannot drive people with sticks into war like #Russia"". Please, judge his words by yourselves.…",15,88,22
au0481810206,2023-02-11 02:46:13+00:00,0,Twitter for Android,"@ThanthiTV தென் இந்தியாவில் தமிழர்கள் மீது வட இந்தியர்களின் பாதுகாப்பு சோதனை சரியா?

M
https://t.co/fn9Z1OhYDd… https://t.co/84xRLZqBnu",101,1857,0
