,Id1,Id2,Interaction
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
151,rohanku67440943,kaafir_indian,RT
151,rohanku67440943,NewsNation,RT
151,rohanku67440943,ZeeNews,RT
151,rohanku67440943,AJEnglish,RT
151,rohanku67440943,ExMuslimSameer,RT
151,rohanku67440943,ExmuslimSahil,RT
151,rohanku67440943,SachwalaTeam,RT
151,rohanku67440943,teamsac,RT
153,GhoulPanza,crouchendcom,RT
154,antipodal,PramilaJayapal,Mention
155,antalsma,igorsushko,RT
158,lancecardiac,I_Katchanovski,RT
159,solar_extreme,crouchendcom,RT
160,TherealUncle_J,GordonGChang,RT
161,lindabrown7777,Antiwarcom,RT
162,debraalv,kk131066,RT
163,lindabrown7777,Antiwarcom,RT
163,lindabrown7777,KyleAnzalone_,RT
163,lindabrown7777,Freem,RT
163,lindabrown7777,Antiwarcom,RT
163,lindabrown7777,KyleAnzalone_,RT
163,lindabrown7777,Freem,RT
163,lindabrown7777,Antiwarcom,RT
163,lindabrown7777,KyleAnzalone_,RT
163,lindabrown7777,Freem,RT
164,lindabrown7777,Antiwarcom,RT
164,lindabrown7777,RonPaul,RT
164,lindabrown7777,Antiwarcom,RT
164,lindabrown7777,RonPaul,RT
165,ronaldobianque9,HugoBor73884636,RT
166,aniledodie,ArthurM40330824,RT
167,FabioGhironi,kajakallas,RT
168,Wmadall,rst_like,RT
169,au0481810206,ThanthiTV,Mention
171,FabioGhironi,kajakallas,RT
172,darealshadow,lesiavasylenko,RT
173,ungubunugu1274,RoINTEL,RT
174,IiiLandon,GordonGChang,RT
175,YouCanFoolMost,TycoonTom,RT
175,YouCanFoolMost,gatewaypundit,RT
175,YouCanFoolMost,TycoonTom,RT
175,YouCanFoolMost,gatewaypundit,RT
176,cosmila_2020,ChinasaNworu,RT
178,cookmonika2022,nexta_tv,RT
179,JohonanG,ThierryGooseBC,RT
180,MIKE131720,Finanzas_Times,RT
181,NaukatN,GNganjani,RT
182,paul_szafranski,GordonGChang,RT
183,lindabrown7777,Antiwarcom,RT
184,darealshadow,lesiavasylenko,RT
185,XAEA129,GeorgeSirdar,Mention
186,SaadaanT,GNganjani,RT
188,rubenrpduarte,igorsushko,RT
189,Crusader4Justi1,GeorgeSirdar,RT
190,pilthon666,JasonMBrodsky,RT
193,SaadaanT,crouchendcom,RT
194,Faulken87094189,igorsushko,RT
195,OrioliAlberto,igorsushko,RT
196,JudyWoods8,igorsushko,RT
197,anchorjiya,ABPNews,RT
197,anchorjiya,anchorjiya,RT
197,anchorjiya,ABPNews,RT
197,anchorjiya,anchorjiya,RT
198,AndriyBoguslav,EmineDzheppar,RT
198,AndriyBoguslav,coe,RT
198,AndriyBoguslav,Dunja_Mijatovic,RT
198,AndriyBoguslav,EmineDzheppar,RT
198,AndriyBoguslav,coe,RT
198,AndriyBoguslav,Dunja_Mijatovic,RT
198,AndriyBoguslav,EmineDzheppar,RT
198,AndriyBoguslav,coe,RT
198,AndriyBoguslav,Dunja_Mijatovic,RT
199,Voevoda_BY,oryxspioenkop,RT
201,Santin16Giorgio,sandumaiamd,Mention
202,VivekanandMaity,The5HbK,RT
203,BrotherLeeLuv,WhereisRussia,RT
204,klebebrasil,OnePaul87,RT
205,johnnyh92539958,YouTube,Mention
206,Amitochondrio,HannahBree72,RT
207,Carolho93444463,AlympiyaChowdh1,RT
208,OlehOstrowsky,lesiavasylenko,RT
209,tatersngravy_71,nyprepper1,Mention
209,tatersngravy_71,newsklw,Mention
209,tatersngravy_71,nyprepper1,Mention
209,tatersngravy_71,newsklw,Mention
210,deirtagge,ejmalrai,RT
211,deirtagge,ejmalrai,RT
212,LaylaGorka,nexta_tv,RT
213,MAMARTINEZNica,MAMARTINEZNica,RT
214,tommyT2T23,GordonGChang,RT
215,cleary_clearly,GordonGChang,RT
217,Santin16Giorgio,RaufHabibov,Mention
217,Santin16Giorgio,sandumaiamd,Mention
217,Santin16Giorgio,EmmanuelMacron,Mention
217,Santin16Giorgio,NATO,Mention
217,Santin16Giorgio,RaufHabibov,Mention
217,Santin16Giorgio,sandumaiamd,Mention
217,Santin16Giorgio,EmmanuelMacron,Mention
217,Santin16Giorgio,NATO,Mention
217,Santin16Giorgio,RaufHabibov,Mention
217,Santin16Giorgio,sandumaiamd,Mention
217,Santin16Giorgio,EmmanuelMacron,Mention
217,Santin16Giorgio,NATO,Mention
217,Santin16Giorgio,RaufHabibov,Mention
217,Santin16Giorgio,sandumaiamd,Mention
217,Santin16Giorgio,EmmanuelMacron,Mention
217,Santin16Giorgio,NATO,Mention
218,Richard24856748,lesiavasylenko,RT
219,jessecox1953,GordonGChang,RT
220,deltacrook,GordonGChang,RT
221,mfaulstone,halyapuff,RT
222,CorruptPunjab,ArthurM40330824,RT
223,DakotaSidwell,CBKNEWS121,RT
224,kyberskeble,nexta_tv,RT
225,deirtagge,ejmalrai,RT
225,deirtagge,EmmanuelMacron,RT
225,deirtagge,ejmalrai,RT
225,deirtagge,EmmanuelMacron,RT
226,karenchke,Wenyee_Lee,RT
226,karenchke,CommerceGov,RT
226,karenchke,Wenyee_Lee,RT
226,karenchke,CommerceGov,RT
227,1foreverseeking,amborin,RT
228,Shashan20797894,the_hindu,RT
229,JohnnyL55189795,Paul69405499,Mention
229,JohnnyL55189795,medialens,Mention
229,JohnnyL55189795,GeorgeMonbiot,Mention
229,JohnnyL55189795,Paul69405499,Mention
229,JohnnyL55189795,medialens,Mention
229,JohnnyL55189795,GeorgeMonbiot,Mention
229,JohnnyL55189795,Paul69405499,Mention
229,JohnnyL55189795,medialens,Mention
229,JohnnyL55189795,GeorgeMonbiot,Mention
232,chance4phun,GordonGChang,RT
233,SeanMConnolly,igorsushko,RT
234,CassandraMakhno,halyapuff,RT
235,yume6tsumi0,halyapuff,RT
236,ahlbaytrevive,richimedhurst,Mention
237,dragonfire55555,EmineDzheppar,RT
238,Guate_Inmortal_,GordonGChang,RT
239,GhoulPanza,GeorgeSirdar,RT
240,clauden48363105,Circonscripti18,RT
243,generalklaus1,Circonscripti18,RT
245,DonQuixote1950,JuliaDavisNews,RT
247,ronaldobianque9,HugoBor73884636,RT
248,AnneAnton3,halyapuff,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
249,rohanku67440943,kaafir_indian,RT
249,rohanku67440943,NewsNation,RT
249,rohanku67440943,ZeeNews,RT
249,rohanku67440943,AJEnglish,RT
249,rohanku67440943,ExMuslimSameer,RT
249,rohanku67440943,ExmuslimSahil,RT
249,rohanku67440943,SachwalaTeam,RT
249,rohanku67440943,teamsac,RT
251,GhoulPanza,crouchendcom,RT
252,antipodal,PramilaJayapal,Mention
253,antalsma,igorsushko,RT
256,lancecardiac,I_Katchanovski,RT
257,solar_extreme,crouchendcom,RT
258,TherealUncle_J,GordonGChang,RT
259,lindabrown7777,Antiwarcom,RT
260,debraalv,kk131066,RT
261,lindabrown7777,Antiwarcom,RT
261,lindabrown7777,KyleAnzalone_,RT
261,lindabrown7777,Freem,RT
261,lindabrown7777,Antiwarcom,RT
261,lindabrown7777,KyleAnzalone_,RT
261,lindabrown7777,Freem,RT
261,lindabrown7777,Antiwarcom,RT
261,lindabrown7777,KyleAnzalone_,RT
261,lindabrown7777,Freem,RT
262,lindabrown7777,Antiwarcom,RT
262,lindabrown7777,RonPaul,RT
262,lindabrown7777,Antiwarcom,RT
262,lindabrown7777,RonPaul,RT
263,ronaldobianque9,HugoBor73884636,RT
264,aniledodie,ArthurM40330824,RT
265,FabioGhironi,kajakallas,RT
266,Wmadall,rst_like,RT
267,au0481810206,ThanthiTV,Mention
269,FabioGhironi,kajakallas,RT
270,darealshadow,lesiavasylenko,RT
271,ungubunugu1274,RoINTEL,RT
272,IiiLandon,GordonGChang,RT
